i,j,val,ci,cj
162,170,2.51e-09,1,1
163,42,4.96e-03,1,0
163,56,3.47e-05,1,0
163,120,5.37e-06,1,1
164,8,4.11e-07,1,0
164,60,1.10e-05,1,0
164,117,3.60e-03,1,1
164,124,4.77e-07,1,1
164,128,1.25e-03,1,1
164,139,1.33e-04,1,1
165,72,1.51e-03,1,0
165,96,1.16e-03,1,0
165,133,2.33e-03,1,1
166,166,4.42e-03,1,1
166,175,3.13e-04,1,1
166,187,2.66e-04,1,1
167,180,5.00e-03,1,1
168,14,4.17e-03,1,0
168,23,8.22e-04,1,0
168,162,7.99e-06,1,1
169,93,4.94e-03,1,0
169,100,3.04e-10,1,0
169,113,6.43e-05,1,0
170,9,2.99e-03,1,0
170,71,1.41e-07,1,0
170,114,2.01e-03,1,0
170,143,9.68e-07,1,1
171,65,2.36e-09,1,0
171,81,4.71e-09,1,0
171,98,1.13e-03,1,0
171,168,1.22e-03,1,1
171,176,1.15e-05,1,1
171,192,2.64e-03,1,1
172,96,2.83e-03,1,0
172,99,2.17e-03,1,0
173,44,1.01e-04,1,0
173,46,7.77e-09,1,0
173,88,4.42e-03,1,0
173,124,4.75e-04,1,1
174,26,1.85e-03,1,0
174,73,3.09e-03,1,0
174,144,6.31e-05,1,1
175,166,3.06e-04,1,1
175,175,4.69e-03,1,1
175,187,6.87e-06,1,1
176,6,1.49e-03,1,0
176,17,2.53e-03,1,0
176,54,4.10e-04,1,0
176,85,2.99e-05,1,0
176,162,5.45e-04,1,1
177,8,4.86e-03,1,0
177,40,1.37e-04,1,0
177,60,9.75e-10,1,0
178,22,2.32e-06,1,0
178,28,3.76e-03,1,0
178,118,6.67e-08,1,1
178,121,1.72e-04,1,1
178,154,1.06e-03,1,1
179,16,1.66e-09,1,0
179,61,4.74e-03,1,0
179,178,8.74e-05,1,1
179,187,1.75e-04,1,1
180,58,5.00e-03,1,0
181,46,4.50e-06,1,0
181,63,1.05e-08,1,0
181,142,5.00e-03,1,1
182,3,1.74e-09,1,0
182,122,4.62e-09,1,1
182,131,1.73e-05,1,1
182,168,5.57e-05,1,1
182,188,4.93e-03,1,1
182,192,2.58e-08,1,1
183,97,5.00e-03,1,0
183,110,2.78e-06,1,0
183,163,2.05e-09,1,1
184,53,2.19e-05,1,0
184,81,3.86e-03,1,0
184,132,4.05e-10,1,1
184,168,2.09e-04,1,1
184,192,9.13e-04,1,1
185,2,5.00e-03,1,0
185,30,2.48e-07,1,0
185,69,8.21e-09,1,0
186,16,8.58e-10,1,0
186,61,2.61e-04,1,0
186,103,2.24e-08,1,0
186,127,1.20e-03,1,1
186,179,3.44e-03,1,1
186,186,6.78e-09,1,1
186,187,1.00e-04,1,1
187,61,3.46e-07,1,0
187,83,5.48e-04,1,0
187,187,4.45e-03,1,1
188,23,4.18e-03,1,0
188,58,1.91e-10,1,0
188,152,8.23e-04,1,1
189,65,1.58e-03,1,0
189,98,2.53e-08,1,0
189,176,3.42e-03,1,1
190,3,4.51e-03,1,0
190,57,1.27e-06,1,0
190,108,4.90e-04,1,0
190,122,6.40e-09,1,1
191,29,1.77e-04,1,0
191,33,1.05e-04,1,0
191,50,4.69e-03,1,0
191,145,2.92e-05,1,1
192,14,8.31e-04,1,0
192,23,1.40e-06,1,0
192,162,4.17e-03,1,1
193,15,3.13e-03,1,0
193,26,1.02e-09,1,0
193,106,1.87e-03,1,0
194,21,1.24e-06,1,0
194,75,3.05e-03,1,0
194,91,1.83e-03,1,0
194,92,5.98e-10,1,0
194,198,1.18e-04,1,1
195,39,2.01e-03,1,0
195,126,2.08e-09,1,1
195,165,2.99e-03,1,1
195,166,6.58e-08,1,1
196,48,1.34e-08,1,0
196,119,5.00e-03,1,1
197,9,2.00e-03,1,0
197,25,5.85e-07,1,0
197,71,3.00e-03,1,0
197,99,1.81e-07,1,0
198,46,4.74e-03,1,0
198,63,2.55e-04,1,0
198,124,3.10e-08,1,1
199,42,4.01e-05,1,0
199,56,4.96e-03,1,0
199,143,2.54e-10,1,1
